str,en,ko,ja
hello,Hello,환영,ようこそ
number,Number,숫자,数字
n0,Zero,영,ヤング
n1,One,하나,れい
n2,Two,둘,いち
n3,Three,셋,に
n4,Four,넷,さん
n5,Five,다섯,よん
n6,Six,여섯,ご
n7,Seven,일곱,ろく
n8,Eight,여덥,なな
n9,Nine,아홉,はち
n10,Ten,열,きゅう
n11,Eleven,열하나,じゅう
n12,Twelve,열둘,じゅういち
lang.en,English,영어,英語
lang.ko,Korea,한글,ハングル
lang.ja,Japan,일본,日本の
lang.es,Spanish,스페인,スペイン
msg,{} are written in the {} language,{}는 {} 언어로 작성되었습니다.,{}は{}言語で書かれています
msg_named,Easy localization are written in the {lang} language,쉬운 현지화는 {lang} 언어로 작성되었습니다.,簡単なローカリゼーションは{lang}言語で書かれています
msg_mixed,{} are written in the {lang} language,{}는 {lang} 언어로 작성되었습니다.,{}は{lang}言語で書かれています
gender.male,Hi man ;) {},안녕하세요 ;) {},こんにちは;）{}
gender.female,Hello girl :) {},안녕하세요 아가씨 :) {},ハローガール:) {}
gender.other,Hello {},안녕하세요 {},こんにちは{}
day.zero,{} day,{} 일,{}日
day.one,{} day,{} 일,{}日
day.two,{} days,{} 일,{}日
day.few,{} days,{} 일,{}日
day.many,{} days,{} 일,{}日
day.other,{} days,{} 일,{}日
money.zero,You not have money,금액이 없습니다.,金額がありません。
money.one,You have {} dollar,당신은 {} $ 보유했습니다.,あなたは{}$保有している。
money.many,You have {} dollars,당신은 {} $ 보유했습니다.,あなたは{}$保有している。
money.other,You have {} dollars,당신은 {} $ 보유했습니다.,あなたは{}$保有している。
welcome,Welcome,환영합니다.,ようこそ
title,Title,제목,タイトル
widgetName,Widget Name,위젯 이름,ウィジェットの名前
appName,Application Name,애플리케이션 이름,アプリケーション名
